,users,totalVidsRatio,intensityNormalized,order,prediction
0,0126c792-ca6a-61a6-a96a-42bf5fc1,0.38461538461538464,0.125,0.75,1
1,012d8099-01c6-f99f-55ef-151df7a5,0.4615384615384616,0.08333333333333333,0.4,2
2,01d960ae-5d88-45e9-e235-6f68599c,0.9230769230769232,0.9166666666666666,1.0,3
3,0f165b85-0670-e6ac-bf14-cf00655a,1.0,0.0972222222222222,1.0,0
4,14b19a02-38a5-992d-2f4f-aebd2315,0.38461538461538464,0.3333333333333333,0.0,2
5,25a03b67-3ce1-77fc-c715-72ba385a,0.9230769230769232,0.08333333333333333,0.9090909090909092,0
6,2888b741-780e-2c51-0772-617d7c33,1.0,0.4583333333333333,0.5833333333333334,0
7,2c89fe15-af0e-a900-7384-29f556d1,1.0,0.4583333333333333,1.0,0
8,2fba9116-a20d-ea5f-3980-a0c4226c,0.38461538461538464,0.125,1.0,1
9,32c9bec6-bd73-18c6-9611-148b7b0e,0.6153846153846154,0.25,1.0,1
10,3469f507-2f62-0e43-70e8-0c4bc6e3,0.9230769230769232,0.4166666666666667,0.9090909090909092,0
11,3db3466c-e5e5-3bc2-d72b-8fa46cd2,0.7692307692307693,0.75,1.0,3
12,427905ff-8519-fc73-90ee-17ecae10,0.38461538461538464,0.3333333333333333,0.75,1
13,461e7201-9b62-2da4-aca6-9bc7e2aa,0.4615384615384616,0.4166666666666667,1.0,1
14,4fa0f410-5265-9be6-be9d-778ee66d,0.38461538461538464,0.3333333333333333,0.75,1
15,52656cee-d479-aed9-c14a-94a33208,0.3076923076923077,0.25,1.0,1
16,54ec8d85-fcb4-2695-6332-e8c53e6e,0.7692307692307693,0.75,1.0,3
17,57fbd139-416d-e97c-42e1-e3d21786,0.4615384615384616,0.4166666666666667,1.0,1
18,5a064204-6bd4-8b83-adec-4f0196a2,0.38461538461538464,0.02083333333333333,1.0,1
19,5bb4be5d-066c-8d6b-ec52-55325830,0.3076923076923077,0.08333333333333333,0.6666666666666666,1
20,5de63720-f52d-3d98-8315-9cffae99,0.38461538461538464,0.3333333333333333,1.0,1
21,6ba67821-cac2-1015-fa83-7a8546b6,0.8461538461538461,0.14583333333333334,0.9,0
22,6cb1567b-ce14-1c63-5c79-2d56cd65,0.6923076923076923,0.6666666666666666,1.0,3
23,76223a87-2695-2b9d-ac3d-b8a7f469,1.0,1.0,1.0,3
24,8095dea5-2414-2dd8-96a5-94762161,0.38461538461538464,0.05555555555555556,0.5,1
25,823fb65f-7880-5b1e-2c81-c7fdda61,0.38461538461538464,0.3333333333333333,1.0,1
26,889c7103-b73e-f33a-594f-f207a4cd,0.8461538461538461,0.8333333333333334,1.0,3
27,8bdf5cb3-35c1-f6f1-e618-f641fcc2,1.0,0.2777777777777777,1.0,0
28,921196a3-13fa-e4ce-3af8-6cbdc712,0.7692307692307693,0.19444444444444445,0.2222222222222222,2
29,979eea52-4e76-7700-5136-517b6799,0.8461538461538461,0.14583333333333334,0.0,2
30,9f9f9fdf-92e7-af14-0692-647f88c2,0.6153846153846154,0.5833333333333334,1.0,3
31,a3ec40af-975f-ba01-2db3-3caa97d9,1.0,0.2777777777777777,0.08333333333333333,2
32,a52f2bc6-a117-0f22-9ee9-126d536e,0.8461538461538461,0.8333333333333334,1.0,3
33,af4c2645-6fb3-16d2-5660-862ba713,0.7692307692307693,0.75,1.0,3
34,b37edebf-8ae7-aa45-24a6-a71ab0cf,0.3076923076923077,0.0,1.0,1
35,b543862d-e79a-96e0-43de-2a3df236,0.38461538461538464,0.02083333333333333,1.0,1
36,bd5f2e42-b664-0cc9-37b0-15736f11,0.9230769230769232,0.25,1.0,0
37,bd68cd15-7a72-7240-6a6d-11fdf386,0.5384615384615384,0.11111111111111112,0.8333333333333334,1
38,be606175-e63e-f12e-d947-27baefe1,1.0,0.4583333333333333,1.0,0
39,c1d60570-2cbc-37b1-9e8a-4883bae7,1.0,0.2777777777777777,0.9166666666666666,0
40,cd63ab01-8f40-afeb-0b3d-ca6de10f,1.0,1.0,0.9166666666666666,3
41,d240496b-e2cf-209d-80f4-6a24fbd7,0.8461538461538461,0.2222222222222222,1.0,0
42,d48858c6-80ce-2e95-a74a-8d955a9e,0.38461538461538464,0.125,1.0,1
43,db0c804a-a6ad-cb9d-d037-84256d49,0.3076923076923077,0.25,0.0,2
44,e84ee6a5-b0be-fe4d-cee9-c9846350,0.3076923076923077,0.25,0.6666666666666666,1
45,e8f759fe-33ca-af05-511a-3b4aa7f5,0.3076923076923077,0.25,1.0,1
46,e996ed9e-cf46-2cad-2e67-5688856d,1.0,0.1875,1.0,0
47,eabfeaaa-351b-e551-fd2b-3e6d0f45,0.38461538461538464,0.3333333333333333,0.75,1
48,ef41223d-f80f-838d-f944-d7c278c7,0.38461538461538464,0.125,1.0,1
49,f309c633-16b6-7dc6-6a93-65789e3f,0.4615384615384616,0.4166666666666667,1.0,1
50,fb1d6ed7-6e3b-21ed-c1d0-d1456834,0.38461538461538464,0.3333333333333333,1.0,1
